43.0,3.54
54.0,4.35
39.0,4.73
58.0,6.18
46.0,2.67
14.0,3.86
8.0,5.53
49.0,3.91
10.0,4.30
36.0,6.23
3.0,7.27
21.0,3.80
64.0,6.97
70.0,4.15
37.0,6.38
62.0,7.11
56.0,5.28
53.0,4.17
7.0,4.72
16.0,2.92
4.0,6.87
13.0,3.00
63.0,6.93
35.0,6.15
26.0,6.18
67.0,5.70
68.0,6.87
50.0,3.08
28.0,6.79
41.0,4.83
6.0,6.88
47.0,3.66
30.0,6.34
12.0,2.64
52.0,4.42
33.0,6.92
69.0,6.49
11.0,4.83
19.0,2.48
15.0,3.60
71.0,3.80
44.0,4.09
17.0,2.62
29.0,7.07
66.0,7.59
23.0,4.77
40.0,4.68
48.0,2.71
59.0,6.54
38.0,5.88
