1     -0.71134	  1.39629
1     -1.44312	 -0.47863
1     -0.14462	 -0.76752
1     -2.15465	  0.62291
1      1.47056	  0.09361
1      0.73702	 -0.16086
1      0.47885	 -0.29509
1     -0.97742	 -0.17054
1     -0.44824	 -0.76450
1     -1.52833	 -1.51489
1      1.92482	  0.76858
1     -0.54143	 -0.04134
1      0.10692	  1.27335
1     -0.11009	  1.30812
1      0.78216	  0.96612
1     -1.35966	 -1.58848
1      0.23883	 -0.66770
1     -0.47625	 -1.96735
1     -1.04277	 -0.91293
1      1.71094	 -0.91307
1      1.22609	  1.15643
1     -0.30706	 -0.05816
1     -0.01319	  0.16026
1      0.79996	 -0.88926
1     -0.52355	  2.17702
1      1.12131	 -0.88691
1     -1.78440	 -1.02033
1      0.17070	  0.66923
1     -0.16337	  1.35136
1     -1.15462	  0.82972
1     -1.01251	 -0.22633
1     -1.09106	  1.21472
1     -0.34188	  0.82074
1     -1.27353	 -0.55329
1     -0.81966	 -0.44794
1      2.34825	  2.63148
1      1.76153	 -0.41793
1     -0.29535	 -0.00113
1      0.77744	  0.27257
1      1.37863	  0.53988
1     -0.66883	  1.00002
1     -2.47661	  1.57817
1     -1.32252	  0.63493
1      0.24480	 -0.86190
1     -0.50041	  0.27386
1      2.23089	  0.99068
1     -0.19801	  2.57922
1      1.16762	 -0.88162
1     -2.75826	 -0.50598
1     -1.48663	  0.97326
1      0.13431	 -1.29664
1     -0.35603	 -0.23912
1     -0.77519	  0.33853
1      1.11426	 -0.33575
1     -0.57585	  0.77832
1      0.46872	 -1.80465
1      0.55582	 -0.24955
1     -0.48352	 -0.48707
1     -0.59843	 -1.78270
1      1.03716	  1.24963
1      1.27051	 -0.76836
1     -1.67475	 -0.38367
1      1.71897	  2.35075
1      0.21755	  1.24504
1     -2.18093	  0.76907
1      0.61806	 -0.90130
1      0.78706	 -0.83560
1      0.15898	 -0.57391
1     -1.03227	 -0.20082
1      1.28746	 -1.55897
1      2.69543	 -3.14825
1     -0.02641	  0.66837
1      0.16105	 -2.38682
1     -0.76999	 -2.15617
1      0.29296	  0.29618
1      1.13993	  1.18821
1      1.41891	 -1.39331
1     -2.57963	  1.80645
1     -2.44138	  2.52126
1     -1.78204	  0.92972
1     -1.37988	 -0.90193
1     -0.30090	  0.51018
1      0.24794	 -0.31712
1     -0.42247	  0.19370
1     -0.68300	 -1.19167
1     -0.76850	  0.12521
1     -1.72225	 -0.22752
1     -1.58852	  0.97730
1     -0.49122	 -1.98505
1      0.62002	  1.44292
1     -1.50977	  1.20756
1     -1.21477	  0.99315
1      1.06343	  0.12790
1      0.07514	 -2.50417
1     -1.16046	  0.14603
1     -0.48331	 -0.06169
1      1.88977	  1.76634
1     -3.06986	 -0.57911
1      0.00535	  2.11042
1      0.53223	 -1.16175
1     -0.90924	  0.13730
1     -1.83897	  1.52718
1     -1.55042	  1.97100
1      1.42331	  0.23865
1      1.56156	 -0.13710
1     -0.90206	  1.26403
1      0.15701	  0.05919
1      3.78666	 -0.56159
1      0.63830	  0.93490
1      0.63962	  0.95831
1     -0.94381	  1.02074
1     -0.09124	  0.32405
1     -1.93053	 -0.17691
1     -0.72641	 -1.54572
1      0.02141	 -0.98930
1      1.72456	  1.46306
1      1.83110	 -0.83967
1     -0.58559	  0.35436
1     -2.78355	  0.46679
1     -0.57473	  1.11730
1      1.25416	  2.23014
1      0.70947	 -1.28169
1      1.05665	 -1.55125
1      0.74587	  3.44946
1     -1.21481	  2.51386
1     -1.28564	 -1.17452
1     -1.53379	  0.34194
1      0.52712	 -1.26465
1      2.41908	  0.14825
1     -0.33748	 -0.54738
1     -1.44208	 -3.52261
1     -2.38234	  0.44857
1     -0.37039	  0.06290
1      1.29830	 -0.51688
1     -0.82529	 -1.43262
1      0.41904	 -1.36343
1     -2.66119	 -0.81830
1     -0.39719	 -2.63461
1      0.41717	 -1.99123
1     -2.92143	 -0.38048
1     -0.64777	 -0.50531
1      0.11011	  0.49699
1      2.38193	  1.80245
1     -0.86158	  2.04863
1     -1.23252	 -0.37118
1      0.38030	  0.32876
1     -1.40706	  1.89843
1     -0.83714	  0.12930
1      1.74280	  2.10647
1      2.07217	 -1.18025
1      1.83883	  0.53255
1     -2.66488	  2.98161
1      0.41304	  2.95072
1     -0.64710	  2.66184
1     -2.80379	 -1.86965
1     -0.22303	  2.31512
1      0.36225	 -0.41009
1      1.79136	  2.23457
1      1.10243	  0.87074
1      2.33052	 -1.86225
1      0.23680	 -1.97062
1      1.01608	  3.60188
1      1.09014	 -2.40145
1     -1.44859	  1.15080
1      2.02494	  0.54899
1      1.81359	 -0.55778
1      2.07747	  0.63134
1      0.20837	  0.68809
1      0.94998	  1.53172
1      0.56513	 -0.91839
1     -0.89662	  4.91501
1      1.41054	  1.35613
1      0.57557	  1.79186
1      0.05245	  0.65350
1     -2.33048	  1.75980
1     -1.66780	 -0.67677
1      1.93572	  0.21690
1      0.47578	 -0.27889
1      0.70995	 -0.48937
1     -0.03423	 -0.83516
1     -0.13422	 -0.21706
1      0.74662	  1.46033
1     -0.62784	  2.03671
1      2.38953	  1.36206
1      1.89748	 -3.23747
1     -0.80295	  0.74802
1      1.88035	  2.13372
1      1.46439	  1.67694
1      0.03971	 -0.66623
1      1.03206	 -0.93343
1      1.19932	 -0.98443
1     -0.29866	 -0.85479
1      0.74918	  1.31924
1     -0.11878	  1.02525
1     -0.00227	 -0.51179
1     -0.61355	  2.55226
1      1.54311	  1.13399
1     -1.58694	 -0.96445
1     -2.17600	 -3.38867
1     -0.37318	  0.31819
1     -0.09775	 -0.41485
1      1.00197	 -0.77341
1      1.48412	  1.84606
1      0.92782	 -0.46001
1      0.66583	  3.26597
1     -2.41744	 -0.16481
1      0.22015	 -1.23236
1     -0.24118	 -1.92455
1      0.20537	 -0.32411
1      2.71938	  0.80526
1     -2.77191	 -3.05739
1      0.92300	  0.57759
1      2.59608	  1.63069
1     -0.81447	 -0.60862
1     -0.05243	  0.96879
1      3.73506	 -0.13882
1      2.13887	  1.36234
1     -0.82108	  1.70374
1      0.16940	 -2.73615
1     -2.24331	 -2.05785
1      0.07660	 -0.47042
1      1.14745	  0.99462
1      0.15482	 -0.19218
1     -0.46969	 -0.46000
1     -2.05245	  2.09033
1      1.02199	 -0.05734
1      0.70128	 -0.60913
1      0.78800	  1.17959
1     -0.05839	 -1.60555
1      1.61782	 -0.92393
1     -2.18325	 -0.43398
1      1.29357	 -1.13611
1      0.27365	 -0.67409
1     -0.88287	  0.72789
1     -0.88963	 -0.40726
1     -2.13837	  3.76119
1     -0.36099	 -1.73146
1     -1.14053	  3.33441
1      0.91803	 -0.98604
1      3.19116	  1.75755
1      2.68452	  0.55146
1      2.28660	 -1.32291
1     -0.20516	  0.22899
1     -0.84109	  1.48498
1     -0.05985	  1.65947
1      0.66835	 -0.78462
1     -1.67180	 -0.15915
1      1.67158	  0.12161
1      1.01010	  0.17614
1      0.34967	  1.73934
1      1.91398	 -0.29344
1     -2.68791	  1.20344
1      1.53456	  1.55438
1      1.72802	  0.66095
1      2.70873	 -1.44773
1      0.79614	 -0.90989
1     -0.56826	  0.86884
1     -0.63448	 -0.86930
1     -0.58004	  2.41118
1     -0.28783	 -1.22230
1     -1.82734	  1.64014
1      2.92692	 -0.43934
1      0.96901	  1.62849
1     -1.23911	 -2.39806
1      1.93626	  2.07943
1      2.04933	  1.05280
1      4.24308	 -0.74205
1     -1.80852	  0.75270
1      0.64645	  0.65785
1     -0.68376	  1.13704
1     -1.27100	 -0.61298
1      0.36521	 -1.60943
1      2.68316	 -0.03756
1     -0.50530	  1.29117
1     -3.01573	  1.47253
1      0.03472	  0.02776
1     -2.59852	 -0.83975
1     -1.13890	 -0.81890
1     -0.25141	 -0.39851
1     -2.32984	 -2.34361
1     -1.10260	  0.30029
1      2.88089	  1.29549
1     -0.69829	 -0.10348
1     -2.27333	 -0.25145
1      0.79740	  1.18782
1     -0.30150	 -1.22177
1     -1.45391	  3.51091
1      1.66372	 -2.51038
1      0.77932	 -0.34112
1      0.78950	 -0.14707
1      1.33327	  0.57523
1      0.85147	  0.79424
1     -0.06911	  0.12168
1      0.14967	 -2.74314
1      0.46322	  0.11664
1     -0.90668	 -0.04415
1      0.31656	 -1.33319
1     -3.01984	 -0.08672
1     -1.48887	 -0.54961
1     -2.40599	  1.52631
1      0.72373	  1.74734
